             CURRENT_STATE, ILLEGAL, IDENTIFIER, INT, FLOAT, STRING, IF, ELSE, ELIF, WHILE, FOR, RETURN, LBRACE, RBRACE, LPAREN, RPAREN, LBRACK, RBRACK, COLON, QMARK, OP_ADD, OP_SUB, OP_MUL, OP_DIV, OP_MOD, OP_EQ, OP_L, OP_G, OP_LE, OP_GE, OP_ASSIGN, SEMICOLON, COMMA, DEF, INDENT, DEDENT, NILL, EOL, EOS
          TRANSLATION_UNIT,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
            STATEMENT_LIST,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
                 STATEMENT,       -,          -,   -,     -,      -,  3,    -,    -,     4,   4,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
       SELECTION_STATEMENT,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
     SELECTION_STATEMENT_B,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
       ITERATION_STATEMENT,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
                EXPRESSION,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
     ASSIGNMENT_EXPRESSION,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
    CONDITIONAL_EXPRESSION,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
     LOGICAL_OR_EXPRESSION,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
    LOGICAL_AND_EXPRESSION,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
       EQUALITY_EXPRESSION,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
     RELATIONAL_EXPRESSION,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
       ADDITIVE_EXPRESSION,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
 MULTIPLICATIVE_EXPRESSION,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
        POSTFIX_EXPRESSION,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
        PRIMARY_EXPRESSION,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
       FUNCTION_DEFINITION,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
         TARGET_DEFINITION,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
           IDENTIFIER_LIST,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
  ARGUMENT_EXPRESSION_LIST,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
         COMPUND_STATEMENT,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
                       END,       -,          -,   -,     -,      -,  -,    -,    -,     -,   -,      -,      -,      -,      -,      -,      -,      -,     -,     -,      -,      -,      -,      -,      -,     -,    -,    -,     -,     -,         -,         -,     -,   -,      -,      -,    -,   -,   -
